2026-06-28 18:40:19 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-28 18:40:20 [Test worker] INFO  p.e.p.z.AuthControllerTest - Starting AuthControllerTest using Java 17.0.12 with PID 19460 (started by PIOTR in C:\ReactAppAgileTeam\ZwinneBackEnd)
2026-06-28 18:40:20 [Test worker] DEBUG p.e.p.z.AuthControllerTest - Running with Spring Boot v3.3.0, Spring v6.1.8
2026-06-28 18:40:20 [Test worker] INFO  p.e.p.z.AuthControllerTest - The following 1 profile is active: "test"
2026-06-28 18:40:22 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-28 18:40:23 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 185 ms. Found 7 JPA repository interfaces.
2026-06-28 18:40:25 [Test worker] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-06-28 18:40:25 [Test worker] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2026-06-28 18:40:25 [Test worker] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-06-28 18:40:26 [Test worker] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-06-28 18:40:26 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-06-28 18:40:27 [Test worker] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2026-06-28 18:40:27 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-06-28 18:40:27 [Test worker] WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-06-28 18:40:29 [Test worker] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-06-28 18:40:30 [Test worker] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-06-28 18:40:31 [Test worker] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
2026-06-28 18:40:32 [Test worker] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-06-28 18:40:33 [Test worker] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@405d123c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@298f7b0a, org.springframework.security.web.context.SecurityContextHolderFilter@695f382c, org.springframework.security.web.header.HeaderWriterFilter@375f276e, org.springframework.web.filter.CorsFilter@7e3c5ef1, org.springframework.security.web.authentication.logout.LogoutFilter@40af3dd8, pl.edu.pbs.zwinnebackend.security.JwtAuthenticationFilter@73cdf5f9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4b2ca159, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@52dfd7f5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4ca6f587, org.springframework.security.web.session.SessionManagementFilter@7a174e4b, org.springframework.security.web.access.ExceptionTranslationFilter@1b513ce8, org.springframework.security.web.access.intercept.AuthorizationFilter@2ea8f277]
2026-06-28 18:40:35 [Test worker] DEBUG p.e.p.z.s.JwtAuthenticationFilter - Filter 'jwtAuthenticationFilter' configured for use
2026-06-28 18:40:35 [Test worker] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2026-06-28 18:40:35 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2026-06-28 18:40:35 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
2026-06-28 18:40:35 [Test worker] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2026-06-28 18:40:35 [Test worker] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@720b52a7]]
2026-06-28 18:40:35 [Test worker] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2026-06-28 18:40:35 [Test worker] INFO  p.e.p.z.AuthControllerTest - Started AuthControllerTest in 16.832 seconds (process running for 20.252)
2026-06-28 18:40:35 [Test worker] INFO  p.e.p.z.c.DatabaseMigrationConfig - Running database migration: dropping NOT NULL constraint on wiadomosc_chat.nadawca_id
2026-06-28 18:40:35 [Test worker] INFO  p.e.p.z.c.DatabaseMigrationConfig - Database migration completed successfully.
2026-06-28 18:40:41 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopping...
2026-06-28 18:40:41 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@720b52a7]]
2026-06-28 18:40:41 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopped.
2026-06-28 18:40:41 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-06-28 18:40:41 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-06-28 18:40:41 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-06-28 18:42:34 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-28 18:42:34 [main] INFO  p.e.p.z.ZwinneBackEndApplication - Starting ZwinneBackEndApplication using Java 17.0.12 with PID 21668 (C:\ReactAppAgileTeam\ZwinneBackEnd\build\classes\java\main started by PIOTR in C:\ReactAppAgileTeam\ZwinneBackEnd)
2026-06-28 18:42:34 [main] DEBUG p.e.p.z.ZwinneBackEndApplication - Running with Spring Boot v3.3.0, Spring v6.1.8
2026-06-28 18:42:34 [main] INFO  p.e.p.z.ZwinneBackEndApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-28 18:42:36 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-28 18:42:36 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 122 ms. Found 7 JPA repository interfaces.
2026-06-28 18:42:37 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-06-28 18:42:37 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-28 18:42:37 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-28 18:42:37 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2026-06-28 18:42:37 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-28 18:42:37 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3166 ms
2026-06-28 18:42:37 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-06-28 18:42:37 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2026-06-28 18:42:37 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-06-28 18:42:38 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
